,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,sobolevo,ru,54.43,31.9,64.34,73.0,20.0,9.53
3,cayenne,gf,4.94,-52.33,84.2,70.0,44.0,11.41
4,carnarvon,au,-24.87,113.63,57.5,100.0,0.0,16.69
5,kodiak,us,39.95,-94.76,66.2,100.0,90.0,8.05
6,port alfred,za,-33.59,26.89,62.45,84.0,0.0,6.24
7,albany,au,-35.02,117.88,48.86,95.0,48.0,2.82
8,havelock,us,34.88,-76.9,91.47,66.0,75.0,8.05
9,nome,us,30.04,-94.42,84.61,70.0,1.0,8.05
10,ust-kuyga,ru,70.0,135.55,61.01,64.0,0.0,4.12
11,qaanaaq,gl,77.48,-69.36,30.95,100.0,24.0,1.54
12,ghanzi,bw,-21.7,21.65,50.66,43.0,0.0,8.37
14,port elizabeth,za,-33.92,25.57,57.2,54.0,0.0,5.82
15,veraval,in,20.9,70.37,83.78,88.0,92.0,13.06
16,punta arenas,cl,-53.16,-70.91,33.8,74.0,0.0,12.75
17,dmytrivka,ua,50.46,30.17,71.49,56.0,0.0,6.71
18,severo-kurilsk,ru,50.68,156.12,41.84,93.0,92.0,21.34
19,ushuaia,ar,-54.81,-68.31,31.17,86.0,75.0,19.46
20,rikitea,pf,-23.12,-134.97,72.17,100.0,36.0,7.81
21,bluff,nz,-46.6,168.33,43.28,100.0,80.0,9.53
22,qasigiannguit,gl,68.82,-51.19,42.8,70.0,75.0,3.36
23,bethel,us,60.79,-161.76,51.8,87.0,90.0,10.29
24,great yarmouth,gb,52.61,1.73,55.4,58.0,0.0,5.82
26,bar harbor,us,44.39,-68.2,73.4,40.0,75.0,5.82
27,barrow,us,39.51,-90.4,79.34,88.0,75.0,8.05
28,puerto ayora,ec,-0.74,-90.35,84.2,51.0,20.0,16.11
29,yongan,cn,39.7,113.69,52.01,95.0,68.0,2.48
30,arraial do cabo,br,-22.97,-42.02,78.8,69.0,0.0,3.36
31,abha,sa,18.22,42.5,78.8,54.0,5.0,12.75
33,butaritari,ki,3.07,172.79,83.69,100.0,68.0,8.52
34,bredasdorp,za,-34.53,20.04,59.0,58.0,8.0,14.99
36,bambous virieux,mu,-20.34,57.76,73.4,88.0,75.0,3.36
38,kapaa,us,22.08,-159.32,80.6,74.0,40.0,12.75
39,chicama,pe,-7.84,-79.15,68.0,77.0,90.0,6.93
40,rio gallegos,ar,-51.62,-69.22,35.6,64.0,75.0,23.04
41,mar del plata,ar,-46.43,-67.52,42.92,65.0,24.0,10.83
42,katobu,id,-4.94,122.53,77.75,100.0,76.0,4.23
43,ola,ru,59.58,151.3,46.4,93.0,40.0,4.47
44,hasaki,jp,35.73,140.83,63.48,100.0,75.0,3.36
45,del rio,us,29.36,-100.9,93.25,49.0,75.0,5.82
46,trelew,ar,-43.25,-65.31,47.6,35.0,20.0,13.62
47,atuona,pf,-9.8,-139.03,80.9,100.0,0.0,16.31
48,ashqelon,il,31.67,34.57,77.0,73.0,0.0,5.82
49,strelka,ru,58.08,93.03,59.39,68.0,64.0,4.23
50,rio grande,br,-32.03,-52.1,66.2,82.0,20.0,6.93
51,ancud,cl,-41.87,-73.83,47.06,98.0,92.0,9.26
52,paamiut,gl,61.99,-49.67,37.52,98.0,92.0,35.54
